location_id,location_name,sensor_id,parameter,value,datetime_utc,lat,lon
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",6.5,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",17.6,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",20.9,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",15.9,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",10.8,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",9.8,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",27.8,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",96.8,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",15.9,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",6.5,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",8.1,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",9.3,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",8.1,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",13.9,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",6.8,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",18.8,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",15.9,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",17.4,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",22.0,,-33.673752071375,-70.953064737434
